Name,body Shape,dress size,Breasts-Waist-Hips(m),Shoe/Feet,Bra size,Cup size,Height(m),Weight(kg),Natural breasts or implants?
Amy Freeze, Hourglass , 10,2.388-1.676-2.388, 7, 34C, C,1.68,66, Natural 

Amanda Holden, Banana , 4,2.184-1.549-2.261, 7, 32B, B,1.62,57, Natural 

Savannah Guthrie, Banana , 4,2.184-1.626-2.261, 9, 32B, B,1.78,60, Natural 

Heather Nauert, Hourglass , 6,2.261-1.676-2.311, 7, 32C, C,1.65,61, Natural 

Rachel Hunter, Hourglass , 8,2.388-1.549-2.311, 9, 34C, C,1.8,67, Natural 

Erin Burnett, Hourglass , 6,2.311-1.626-2.311, 8, 34B, B,1.68,60, Natural 

Miesha Tate, Hourglass , 6,2.261-1.473-2.261, 8, 32C, C,1.69,61, Implants 

Shannon Bream, Hourglass , 8,2.464-1.676-2.388, 8, 34D, D,1.7,64, Natural 

Giuliana Rancic, Banana , 2,2.261-1.549-2.184, 6, 32C, C,1.75,54, Implants 

Stephanie McMahon, Hourglass , 8,2.464-1.676-2.311, 8, 34D, D,1.75,62, Implants 

Yaya Han, Hourglass , N/A,2.591-1.626-2.261, 6, 36D, D,1.55,50, Implants 

Scout Willis, Hourglass , 6,2.311-1.676-2.311, 8, 34B, B,Null,Null, Natural 

Michelle Beadle, Hourglass , 6,2.388-1.626-2.261, 7, 34C, C,1.83,58, Natural 

Elizabeth Prann, Hourglass , 8,2.388-1.676-2.311, 7, 32D, D,Null,Null, Natural 

Jamie Chung, Banana , 0,2.134-1.473-2.184, 7, 32A, A,1.67,55, Natural 

Morgan McLeod, Hourglass , 8,2.464-1.626-2.311, 7, 32F, F,Null,Null, Natural 

Witney Carson, Hourglass , 6,2.311-1.676-2.311, 6, 32D, D,1.6,59, Natural 

Hayley McQueen, Hourglass , 10,2.515-1.803-2.464, 8, 34DD , DD ,1.77,68, Natural 

Liz Claman, Hourglass , 8,2.464-1.676-2.311, 7, 34D, D,Null,63, Natural 

Charissa Thompson, Hourglass , 2,2.311-1.473-2.261, 8, 34B, B,1.75,58, Natural 

Lacey Banghard, Hourglass , N/A,2.388-1.626-2.184, 7, 30G, G,1.55,50, Natural 

Heather Childers, Hourglass , 6,2.388-1.626-2.311, 7, 34C, C,1.75,64, Natural 

Beth Chapman, Apple , 7,2.845-1.93-2.464, 7, 38F, F,1.7,82, Natural 

A J Lee, Banana , 2,2.184-1.473-2.184, 6, 32B, B,1.57,52, Natural 

Lara Logan, Hourglass , N/A,2.464-1.676-2.311, 7, 34D, D,1.68,61, Natural 

Jackie Johnson, Hourglass , 8,2.388-1.676-2.311, 7, 34C, C,1.68,57, Natural 

Danica McKellar, Banana , 2,2.134-1.473-2.184, 7, 32A, A,1.63,52, Natural 

Nicole Petallides, Hourglass , 6,2.261-1.549-2.311, 7, 32C, C,1.78,57, Natural 

Cheryl Burke, Pear , 4,2.184-1.549-2.311, 7, 32B, B,1.63,58, Natural 

Sharna Burgess, Banana , 0,2.134-1.549-2.184, 7, 32A, A,1.68,52, Natural 

Peta Murgatroyd, Inverted triangle , 8,2.388-1.549-2.261, 7, 36A, A,1.7,54, Natural 

Emma Slater, Banana , 2,2.184-1.549-2.184, 7, 32B, B,1.52,53, Natural 

Meryl Davis, Banana , 0,2.057-1.473-2.184, 7, 32AA, AA,1.6,50, Natural 

Carrie Ann Inaba, Pear , 8,2.184-1.803-2.388, 8, 32B, B,1.67,62, Natural 

Kristin Cavallari, Banana , 2,2.184-1.626-2.184, 7, 32B, B,1.68,52, Natural 

Carrie Keagan, Hourglass , 8,2.311-1.626-2.261, 8, 32D, D,1.65,59, Natural 

Jessica Nigri, Hourglass , 8,2.464-1.626-2.311, 8, 34D , D ,1.7,61, Implants 

Kris Jenner, Hourglass , 8,2.388-1.753-2.388, 9, 34C, C,1.68,66, Natural 

Ginger Zee, Banana , 2,2.184-1.626-2.184, 7, 32B, B,1.7,56, Natural 

Emily Maynard, Hourglass , 4,2.261-1.626-2.261, 7, 32C, C,1.63,58, Natural 

Patti Ann Browne, Hourglass , 2,2.311-1.626-2.261, 7, 32D, D,1.57,54, Natural 

Jodie Sweetin, Apple , N/A,2.388-1.676-2.261, 8, 32DD , DD ,1.65,57, Implants 

Martha MacCallum, Hourglass , 6,2.311-1.549-2.311, 8, 34B, B,1.63,65, Natural 

Juliet Huddy, Hourglass , 2,2.388-1.626-2.261, 7, 34C, C,1.72,57, Natural 

Dana Perino, Banana , 0,2.184-1.473-2.184, 7, 32B, B,1.57,48, Natural 

Jackie Guerrido, Hourglass , N/A,2.388-1.626-2.261, 7, 32DD, DD,1.77,60, Implants 

Holly Sonders, Hourglass , 8,2.311-1.549-2.261, 7, 32D, D,1.73,61, Implants 

Harris Faulkner, Hourglass , 2,2.261-1.549-2.261, 7, 32C, C,1.75,56, Natural 

Amy Schumer, Hourglass , 10,2.464-1.803-2.515, 7, 36B, B,1.7,70, Natural 

Alison Victoria, Hourglass , 4,2.261-1.626-2.311, 7, 32C, C,1.52,54, Natural 

Elisabeth Hasselbeck, Banana , 0,2.184-1.549-2.184, 8, 32B, B,1.63,50, Natural 

Alison Sweeney, Inverted triangle , 4,2.515-1.626-2.311, 9, 36C, C,1.62,56, Natural 

Katie Couric, Hourglass , 8,2.388-1.778-2.464, 6.5, 34C, C,1.54,59, Natural 

Wendy Williams, Hourglass , 12,2.642-1.93-2.591, 11, 34FF / 34G, FF / G,1.8,79, Implants 

Chelsea Handler, Apple , 6,2.388-1.753-2.261, 8, 34C, C,1.68,57, Natural 

Brooke Hogan, Hourglass , 6,2.464-1.676-2.388, 10, 34D, D,1.75,75, Implants 

Anna Kooiman, Inverted triangle , 4,2.464-1.626-2.311, 7, 36B, B,1.75,61, Natural 

Vanna White, Hourglass , 2,2.261-1.524-2.261, 10, 32C, C,1.68,52, Natural 

Kelly Monaco, Hourglass , 0,2.184-1.422-2.057, 7, 30D, D,1.55,44, Natural 

Jillian Michaels, Inverted triangle, 0,2.311-1.549-2.184, 9, 34B, B,1.59,52, Natural 

Lauren Conrad, Banana , 4,2.184-1.626-2.311, 7.5, 32B, B,1.69,54, Natural 

Oprah, Apple , 12,2.591-1.93-2.591, 10.5, 36D, D,1.7,82, Natural 

Sophie Reade, Hourglass , N/A,2.464-1.473-2.184, 5.5, 30H , H ,1.68,57, Implants 

Jwoww, Hourglass , 4,2.311-1.549-2.311, 9, 32D, D,1.7,58, Implants 

Theresa Vail, Inverted triangle , 8,2.642-1.803-2.311, 7, 38C, C,Null,63, Implants 

Audrina Patridge, Hourglass , 4,2.388-1.549-2.311, 8, 34C, C,1.7,57, Implants 

Abigail Clancy, Hourglass , 2,2.184-1.524-2.261, 8.5, 32B, B,1.75,55, Natural 

