Name,body Shape,dress size,Breasts-Waist-Hips(m),Shoe/Feet,Bra size,Cup size,Height(m),Weight(kg),Natural breasts or implants?
Lisa Whelchel, Hourglass , 10,2.388-1.803-2.464, 9, 34C, C,1.68,66, Natural 

Leona Lewis, Hourglass , 8 ,2.311-1.753-2.464, 7.5, 34B, B,1.7,61, Natural 

Kim Fields, Apple , 16,2.642-2.134-2.591, 7, 36DD, DD,1.52,77, Natural 

Pixie Lott, Hourglass , 8,2.388-1.676-2.464, 7, 34C, C,1.73,58, Natural 

Myleene Klass, Hourglass , 6,2.311-1.626-2.311, 6.5, 34C , C / B,1.65,56, Natural 

Cierra Ramirez, Banana , 0,2.057-1.549-2.184, 6, 30B, B,1.55,45, Natural 

Beth Ditto, Apple , 14,2.515-2.134-2.642, 6, 36C, C,1.58,86, Natural 

Amber Riley, Apple , 14,2.591-2.057-2.591, 8, 36D, D,1.6,75, Natural 

Anneliese van der Pol, Hourglass , 10,2.464-1.676-2.388, 8, 34D, D,1.63,62, Natural 

Porsha Stewart, Pear , 8,2.311-1.626-2.515, 10, 34B, B,1.73,63, Natural 

Willa Ford, Hourglass , 8,2.388-1.676-2.388, 7, 34C, C,1.7,58, Implants 

Molly Ringwald, Hourglass , 8,2.388-1.676-2.388, 8.5, 34C, C,1.73,62, Natural 

Idina Menzel, Hourglass , 6,2.311-1.676-2.388, 7, 34B, B,1.63,58, Natural 

Sutton Foster, Banana , 2,2.184-1.549-2.184, 7, 32B, B,1.75,60, Natural 

Willow Smith, N/A , 0,2.057-1.473-2.134, 6, 32AA, AA,1.52,40, Natural 

Nancy Ajram, Hourglass , 6,2.311-1.676-2.388, 7.5, 34B, B,1.68,62, Natural 

Pia Mia, Banana , 2,2.134-1.473-2.261, 6.5, 32A, A,1.63,50, Natural 

Ella Henderson, Hourglass , 10,2.388-1.803-2.464, 6.5, 36A, A,1.7,68, Natural 

Sara Ramirez, Hourglass , 12,2.515-1.93-2.591, 7, 36C, C,1.75,79, Natural 

Madison Beer, Hourglass , 2,2.184-1.473-2.261, 6, 32B, B,1.63,51, Natural 

Mae Whitman, Banana , 2,2.134-1.473-2.261, 8, 32A, A,1.55,52, Natural 

Rebecca Black, Hourglass , 6,2.388-1.676-2.311, 8, 34C, C,1.65,58, Natural 

Keke Palmer, Hourglass , 6,2.464-1.626-2.464, 8, 34B, B,1.68,58, Natural 

Jada Pinkett Smith, Banana , 4,2.184-1.626-2.261, 6, 34A, A,1.52,51, Natural 

K. Michelle, Pear , N/A,2.261-1.549-2.591, 7.5, 32C, C,1.65,63, Natural 

Shawnee Smith, Banana , 8,2.184-1.753-2.261, 10, 34B, B,1.6,60, Natural 

Ashanti, Pear , 6,2.184-1.473-2.464, 7, 32B, B,1.6,64, Natural 

Amy Lee, Hourglass , 6,2.311-1.753-2.388, 7, 34B, B,1.61,61, Natural 

Jaime Ray Newman, Hourglass , 8,2.388-1.676-2.464, 9, 34C, C,1.63,58, Natural 

Alona Tal, Banana , 4,2.261-1.549-2.261, 7, 34A, A,1.63,55, Natural 

Annette Funicello, Hourglass , N/A,2.464-1.473-2.311, 6.5, 34D, D,1.6,58, Natural 

Bernadette Peters, Hourglass , 10,2.464-1.676-2.388, 7, 34D, D,1.6,63, Natural 

Nia Peeples, Hourglass , 8,2.388-1.676-2.388, 8, 34C, C,1.57,56, Natural 

Karen David, Hourglass , 6,2.311-1.753-2.311, 8, 34B, B,1.56,57, Natural 

Kirstie Maldonado, Hourglass , 8,2.388-1.676-2.388, 7.5, 34C, C,1.62,67, Natural 

Jennifer Nettles, Banana , 8,2.311-1.676-2.311, 8, 34B, B,1.63,56, Natural 

Cher, Banana , 8,2.311-1.676-2.311, 9, 34B, B,1.74,61, Natural  

Kym Marsh, Hourglass , 10 ,2.464-1.753-2.388, 7.5, 34D, D,1.63,69, Implants 

Tamar Braxton, Hourglass , 12,2.464-1.88-2.591, 6.5, 34D, D,1.7,74, Natural 

Erica Mena, Hourglass , 10,2.464-1.549-2.515, 7.5, 32A, A,1.75,66, Implants 

Courtney Henggeler, Hourglass , 8,2.388-1.626-2.388, 7, 34C, C,1.75,63, Natural 

Celine Dion, Banana , 4 ,2.21-1.549-2.261, 9, 32B, B,1.71,53, Natural  

